Description,Date
Welcome Week,2022-09-19
Semester 1 Teaching Begins,2022-09-26
Semester 1 Teaching Ends,2022-12-09
Christmas Holiday Begins,2022-12-19
University Closed for Winter Break,2022-12-22
University Opens after Winter Break,2023-01-03
Christmas Holiday Ends,2023-01-06
Semester 1 Exam Period Begins,2023-01-07
Semester 1 Exam Period Ends,2023-01-21
Semester 2 Teaching Begins,2023-01-30
Easter Holiday Begins,2023-03-27
University Closed for Easter,2023-04-07
University Opens after Easter,2023-04-13
Easter Holiday Ends,2023-04-14
Semester 2 Exam Period Begins,2023-05-22
Semester 2 Exam Period Ends,2023-06-09
