Description,Date (DD/MM/YYYY)
Welcome Week,2023-09-18
Semester 1 Teaching Begins,2023-09-25
January Exam Timetable Released,2023-11-27
Semester 1 Teaching Ends,2023-12-01
Christmas Holiday Begins,2023-12-09
University Closed,2023-12-21
University Opens,2024-01-02
Christmas Holiday Ends,2024-01-05
Jan Exam Period Begins,2024-01-06
Jan Exam Period Ends,2024-01-13
Semester 2 Teaching Begins,2024-01-15
Summer Exam Timetable Released,2024-03-20
Easter Holiday Begins,2024-03-23
University Closed for Easter,2024-03-29
University Opens after Easter,2024-04-04
Easter Holiday Ends,2024-04-19
Summer Exam Period Begins,2024-05-04
Summer Exam Period Ends,2024-06-01
Unconfirmed Marks Release,2024-06-15
Finalist Exam Boards,2024-06-21
Confirmed Marks Release,2024-06-28
